"trial_type","trial_index","time_elapsed","internal_node_id","subject","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"image-keyboard-response",398,283546,"0.0-3.129-0.129","s2zthvxk4cjltjq","71.csv","","191.10000002384186","resources/trios/L2T4A1.jpg","38","restless",0.5,0.3,0.3,0.040415278492963,"true"
"image-keyboard-response",399,283949,"0.0-3.129-1.129","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",400,285156,"0.0-3.129-2.129","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",401,285398,"0.0-3.130-0.130","s2zthvxk4cjltjq","71.csv","","239.60000002384186","resources/trios/L2T2A2.jpg","38","restless",0.5,0.4,0.3,0.00661463230371973,"true"
"image-keyboard-response",402,285805,"0.0-3.130-1.130","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",403,287012,"0.0-3.130-2.130","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",404,287215,"0.0-3.131-0.131","s2zthvxk4cjltjq","71.csv","","200.5","resources/trios/L4T4A2.jpg","38","restless",0.5,0.4,0.3,0.106842550044455,"true"
"image-keyboard-response",405,287623,"0.0-3.131-1.131","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",406,288830,"0.0-3.131-2.131","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",407,288987,"0.0-3.132-0.132","s2zthvxk4cjltjq","71.csv","","154.69999992847443","resources/trios/L2T2A1.jpg","38","restless",0.5,0.4,0.3,0.567626262621211,"false"
"image-keyboard-response",408,289394,"0.0-3.132-1.132","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",409,290600,"0.0-3.132-2.132","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",410,290652,"0.0-3.133-0.133","s2zthvxk4cjltjq","71.csv","","49.299999952316284","resources/trios/L4T2A2.jpg","38","restless",0.5,0.4,0.3,0.0598035483458241,"true"
"image-keyboard-response",411,291056,"0.0-3.133-1.133","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",412,292262,"0.0-3.133-2.133","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",413,292502,"0.0-3.134-0.134","s2zthvxk4cjltjq","71.csv","","237.19999992847443","resources/trios/L4T4A1.jpg","38","restless",0.6,0.4,0.3,0.0323063729731725,"true"
"image-keyboard-response",414,292908,"0.0-3.134-1.134","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",415,294112,"0.0-3.134-2.134","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",416,294260,"0.0-3.135-0.135","s2zthvxk4cjltjq","71.csv","","145.20000004768372","resources/trios/L2T4A2.jpg","38","restless",0.6,0.4,0.3,0.476812805748381,"false"
"image-keyboard-response",417,294667,"0.0-3.135-1.135","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",418,295869,"0.0-3.135-2.135","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",419,296012,"0.0-3.136-0.136","s2zthvxk4cjltjq","71.csv","","141.09999990463257","resources/trios/L2T2A2.jpg","38","restless",0.6,0.3,0.3,0.464786834883061,"false"
"image-keyboard-response",420,296415,"0.0-3.136-1.136","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
